ID,中藥中文名,中藥拉丁學名,中藥英文名,中藥基原,西藥學名,建議處理方式,項次_x,研究設計,可能交互作用機轉,可能交互作用結果,參考文獻,項次_y,篇名,連結
2481,血府逐瘀湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資\r\r\n料庫分析', '健\r\r\n保資料庫分析']","['機制未明', '機制未明']","['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥血府逐瘀湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥血府逐瘀湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2482,麻子仁丸,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資\r\r\n料庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥麻子仁丸，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2483,平胃散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資料庫分\r\r\n析', '健保資料\r\r\n庫分析']","['機制未明', '機制未明']","['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥平胃散，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥平胃散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2484,清肺湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥清肺湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2485,甘麥大棗湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥甘麥大棗湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2486,溫膽湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資料庫分\r\r\n析', '健保資料\r\r\n庫分析']","['機制未明', '機制未明']","['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥溫膽湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥溫膽湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2487,九味羌活湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥九味羌活湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2488,天麻鉤藤飲,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資\r\r\n料庫分析', '健\r\r\n保資料庫分析']","['機制未明', '機制未明']","['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥天麻鉤藤飲，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥天麻鉤藤飲，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2489,二陳湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥二陳湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2490,藿香正氣散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資\r\r\n料庫分析', '健\r\r\n保資料庫分析']","['機制未明', '機制未明']","['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥藿香正氣散，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥藿香正氣散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2491,百合固金湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥百合固金湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2492,濟生腎氣丸,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資\r\r\n料庫分析', '健\r\r\n保資料庫分析']","['機制未明', '機制未明']","['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥濟生腎氣丸，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥濟生腎氣丸，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2493,炙甘草湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資料庫\r\r\n分析', '健保資\r\r\n料庫分析']","['機制未明', '機制未明']","['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥炙甘草湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥炙甘草湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2494,清燥救肺湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥清燥救肺湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2495,半夏瀉心湯,"拉丁學名：Banxia Xiesin Tang Concentrated Preparation (Granules, Powder)","英文名：Bansia Siexin Tang Concentrated Preparation (Granules, Powder)","基原：本品之稀乙醇抽提物不得少於24.0%，水抽提物不得少於29.0%，每日量含黃芩以黃芩苷(Baicalin, C21H18O11)計不得少於154 mg，含黃連以氯化小蘗鹼(Berberine chloride, C20H18ClNO4)計不得少於19 mg。",學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資\r\r\n料庫分析', '健\r\r\n保資料庫分析']","['機制未明', '機制未明']","['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥半夏瀉心湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥半夏瀉心湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2496,芍藥甘草湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資\r\r\n料庫分析', '健\r\r\n保資料庫分析']","['機制未明', '機制未明']","['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥芍藥甘草湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥芍藥甘草湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2497,獨活寄生湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資\r\r\n料庫分析', '健\r\r\n保資料庫分析']","['機制未明', '機制未明']","['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥獨活寄生湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥獨活寄生湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2498,生脈散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資料庫分\r\r\n析', '健保資料\r\r\n庫分析']","['機制未明', '機制未明']","['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥生脈散，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥生脈散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2499,柴胡桂枝湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥柴胡桂枝湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2500,補陽還五湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥補陽還五湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2501,荊芥連翹湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥荊芥連翹湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2502,香砂六君子湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,"['1', '2']","['健保資料庫分析', '健保資料庫分析']","['機制未明', '機制未明']","['由\r\r\n1997至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥香砂六君子湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由\r\r\n1997至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥香砂六君子湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風\r\r\n險。']","['256', '256']","[None, None]","['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
2503,鉤藤散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥鉤藤散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2504,益氣聰明湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥益氣聰明湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2505,涼膈散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥涼膈散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2506,羌活勝濕湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥羌活勝濕湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2507,華蓋散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥華蓋散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2508,玉屏風散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資\r\r\n料庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥玉屏風散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2509,滋腎明目湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥滋腎明目湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2510,真武湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥真武湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2511,蘇子降氣湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥蘇子降氣湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2512,參蘇飲,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥參蘇飲，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2513,黃連解毒湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥黃連解毒湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2514,安中散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥安中散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2515,柴胡疏肝湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥柴胡疏肝湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2516,柴陷湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥柴陷湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2517,甘露消毒丹,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥甘露消毒丹，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2518,瀉白散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥瀉白散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2519,防風通聖散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥防風通聖散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2520,黃耆五物湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥黃耆五物湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2521,五苓散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥五苓散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2522,人參敗毒散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥人參敗毒散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2523,麻黃附子細辛湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料庫分析'],['機制未明'],['由\r\r\n1997至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥麻黃附子細辛湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險\r\r\n。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2524,清心利膈湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥清心利膈湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2525,保和丸,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥保和丸，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2526,清上防風湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥清上防風湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2527,參苓白朮散,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥參苓白朮散，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2528,四物湯,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健保資料\r\r\n庫分析'],['機制未明'],['由1997至\r\r\n2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥四物湯，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
2529,桂枝茯苓丸,拉丁學名：,英文名：,基原：,學名：Galantamine,由醫師調整用藥,['1'],['健\r\r\n保資料庫分析'],['機制未明'],['由1997\r\r\n至2012年健保資料庫分析，失智症患者在西藥Galantamine治療期間，合併使用中藥桂枝茯苓丸，與對照組(無服用中藥)相較，不會增加肺炎住院的風險。'],['256'],[None],['賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。'],[None]
